date,open,high,low,close
2023-06-01,319.3,319.3,291.4,319.3
2023-06-02,335.25,335.25,320.25,335.0
2023-06-05,351.75,351.75,336.1,345.0
2023-06-06,360.6,362.25,358.95,360.0
2023-06-07,378.0,378.0,343.05,359.8
2023-06-08,353.35,375.0,341.85,351.8
2023-06-09,351.8,351.85,336.0,343.8
2023-06-12,353.0,353.0,327.0,336.05
2023-06-13,343.65,352.85,327.0,330.1
2023-06-14,330.1,346.6,329.9,346.6
2023-06-15,350.0,362.25,335.85,353.0
2023-06-16,353.0,360.0,335.35,335.45
2023-06-19,335.3,335.3,322.0,328.9
2023-06-20,328.9,328.95,319.05,320.8
2023-06-21,336.8,336.8,306.0,316.4
2023-06-22,321.0,332.2,315.6,332.2
2023-06-23,348.8,348.8,320.15,323.05
2023-06-26,318.0,339.0,309.6,322.4
2023-06-27,337.85,338.0,313.5,330.0
2023-06-28,330.0,330.0,313.65,316.15
2023-06-30,301.15,329.0,301.15,324.4
2023-07-03,331.0,338.0,312.35,333.7
2023-07-04,322.35,330.55,317.05,317.95
2023-07-05,317.9,331.0,317.8,324.6
2023-07-06,316.5,325.75,308.5,310.55
2023-07-07,311.2,320.0,310.55,312.9
2023-07-10,318.1,319.9,297.25,315.9
2023-07-11,313.05,318.35,305.0,311.5
2023-07-12,315.35,321.95,300.0,304.0
2023-07-13,318.7,318.85,302.0,307.6
2023-07-14,322.4,322.4,313.25,318.5
2023-07-17,315.8,315.8,302.6,303.75
2023-07-18,314.5,314.5,288.6,288.8
2023-07-19,296.25,297.35,279.0,283.8
2023-07-20,291.5,297.0,288.5,296.0
2023-07-21,296.0,296.0,281.2,281.7
2023-07-24,294.4,294.4,275.85,280.0
2023-07-25,280.1,280.1,269.6,280.0
2023-07-26,282.05,294.0,275.0,289.55
2023-07-27,290.7,304.0,290.05,300.05
2023-07-28,300.05,309.0,285.2,290.85
2023-07-31,296.95,305.15,295.0,301.15
2023-08-01,293.3,301.0,286.1,299.5
2023-08-02,299.0,299.0,297.2,297.2
2023-08-03,302.0,308.85,282.65,286.2
2023-08-04,283.0,300.5,283.0,299.0
2023-08-07,305.0,319.0,290.3,308.25
2023-08-08,311.0,311.75,300.0,302.0
2023-08-09,283.0,309.0,283.0,302.0
2023-08-10,290.1,298.7,290.0,296.05
2023-08-11,309.4,309.4,309.25,309.3
2023-08-14,308.0,325.6,300.0,316.7
2023-08-16,345.95,345.95,315.0,333.1
2023-08-17,333.0,338.6,316.95,327.2
2023-08-18,328.7,345.0,328.7,336.05
2023-08-21,336.05,364.95,333.05,345.85
2023-08-22,361.45,363.95,325.0,338.2
2023-08-23,355.9,358.65,326.0,348.25
2023-08-24,348.9,348.95,326.35,336.85
2023-08-25,337.95,370.5,337.5,370.5
2023-08-28,407.5,407.55,396.55,407.55
2023-08-29,440.0,448.3,419.95,448.3
2023-08-30,470.7,470.7,426.0,436.65
2023-08-31,444.95,455.0,417.05,445.15
